"district","state","myschooldates_page","first_day","last_day","winter_break_signal","spring_break_signal"
"AUHSD","California","https://myschooldates.com/anaheim-union-high-school-district-calendar","Aug 12, 2026","May 27, 2027","Dec 21, 2026","Mar 22, 2027"
"BCSD","California","https://myschooldates.com/bakersfield-city-school-district-calendar","Aug 12, 2026","May 26, 2027","Dec 21, 2026","Mar 22, 2027"
"Corona-Norco USD","California","https://myschooldates.com/corona-norco-unified-school-district-calendar","Jul 6, 2026","Jun 24, 2027","Dec 21, 2026","Not listed"
"CUSD","California","https://myschooldates.com/capistrano-unified-school-district-calendar","Aug 18, 2026","Jun 3, 2027","Dec 21, 2026","Apr 5, 2027"
"CVESD","California","https://myschooldates.com/chula-vista-elementary-school-district-calendar","Jul 22, 2026","Jun 4, 2027","Dec 21, 2026","Mar 22, 2027"
"EGUSD","California","https://myschooldates.com/elk-grove-unified-school-district-calendar","Aug 13, 2026","May 27, 2027","Dec 21, 2026","Mar 15, 2027"
"Fontana Unified","California","https://myschooldates.com/fontana-unified-school-district-calendar","Aug 6, 2026","May 27, 2027","Dec 21, 2026","Mar 22, 2027"
"FUSD","California","https://myschooldates.com/fresno-unified-school-district-calendar","Aug 17, 2026","Jun 10, 2027","Dec 21, 2026","Mar 22, 2027"
"GGUSD","California","https://myschooldates.com/garden-grove-unified-school-district-calendar","Aug 17, 2026","May 28, 2027","Dec 21, 2026","Mar 29, 2027"
"IUSD","California","https://myschooldates.com/irvine-unified-school-district-calendar","Aug 18, 2026","Jun 4, 2027","Dec 21, 2026","Mar 29, 2027"
"LAUSD","California","https://myschooldates.com/los-angeles-unified-school-district-calendar","Aug 12, 2026","Jun 4, 2027","Dec 21, 2026","Mar 22, 2027"
"LBUSD","California","https://myschooldates.com/long-beach-unified-school-district-calendar","Aug 25, 2026","Jun 10, 2027","Dec 21, 2026","Apr 5, 2027"
"MVUSD","California","https://myschooldates.com/moreno-valley-unified-school-district-calendar","Aug 12, 2026","Jun 11, 2027","Dec 21, 2026","Mar 22, 2027"
